account,name,link,keywords,language
@dlucksted@sciences.social,Danielle Lucksted,https://sciences.social/@dlucksted,human_rights international_law memory_studies,en
@amandaywise@sciences.social,Amanda Wise,https://sciences.social/@amandaywise,Social_Inequality Migration Urban_Commons,en
@MatthewBorus@mastodon.social,Matthew Borus,https://mastodon.social/@MatthewBorus,disability social_movements social_welfare,en
@alesia_ethnog@sciences.social,Alesia Montgomery,https://sciences.social/@alesia_ethnog,Urban_sociology Environmental_justice,
@Gerber@sciences.social,Alison Gerber,https://sciences.social/@Gerber,cultural_sociology STS valuation,en
@fields_uhh@sciences.social,FIELDS Research Project UHH,https://sciences.social/@fields_uhh,fieldwork interdisciplinary marine_social_sciences,en
@LidiaPanico@sciences.social,Lidia Panico,https://sciences.social/@LidiaPanico,,
@eurosocieties@sciences.social,European Societies,https://sciences.social/@eurosocieties/,,en
@mzv@mastodon.world,Christian Meier zu Verl,https://mastodon.world/@mzv,,
@jamescookuma@mastodon.world,James Cook,https://mastodon.world/@jamescookuma,Social_networks Social_media,en
@JanBruelle@sciences.social,Jan Brülle,https://sciences.social/@JanBruelle,Poverty Labour_Market Social_Policy,de en
@crest_socio@sciences.social,CREST Sociology,https://sciences.social/@crest_socio,,
@benjaminbrundugonzalez@sciences.social,–,https://sciences.social/@benjaminbrundugonzalez,Inequality Education Elites,en fr
@ppraeg@sciences.social,Patrick Präg ,https://sciences.social/@ppraeg,Stratification Health,
@ndporter@sciences.social,Nathaniel Porter,https://sciences.social/@ndporter,social_science_data data_education crowdsourcing,en ja
@petejones@hcommons.social,Pete Jones,https://hcommons.social/@petejones,social_networks creative_industries_inequities gender_and_film,en
@natrinh@sciences.social,–,https://sciences.social/@natrinh,,
@Akbaritabar@mastodon.social,Aliakbar Akbaritabar,https://mastodon.social/@Akbaritabar,Social_Networks Scientific_collaboration Social_capital,en de fa
@umichStoneCID@sciences.social,Stone Center for Inequality Dynamics,https://sciences.social/@umichStoneCID,inequality intergenerational_wealth social_mobility,en
@BWI@sciences.social,Bourdieu Work and Inequality Research Network,https://sciences.social/@BWI,Inequality_Research Pierre_Bourdieu Social_Science,fr en
@aryanasoliz@mastodon.social,Aryana Soliz,https://mastodon.social/@aryanasoliz,Mobilities Urban_sociology Social_Justice,en fr es
@icastelaohuerta@sciences.social,Isaura Castelao-Huerta,https://sciences.social/@icastelaohuerta,gender_studies sociology_of_education higher_education,en es
@markigra@sciences.social,Mark Igra,https://sciences.social/@markigra,altruism computational_social_science,en
@StefanAykut@mstdn.social,Stefan C. Aykut,https://mstdn.social/@StefanAykut,climate environmental_politics,de fr en
@Vorinstanz@social.tchncs.de,Reto Eugster,https://social.tchncs.de/@Vorinstanz,media_sociology technologies higher_education,de
@k8henne@mastodon.social,Kate Henne,https://mastodon.social/@k8henne,inequality technology governance,en
@arianeophir@mastodon.social,Ariane Ophir,https://mastodon.social/@arianeophir,Family Gender Life_Course,
@cosmos@piaille.fr,Comos,https://piaille.fr/@Cosmos#,Money Epistemology Economy,fr
@ramyologist@sciences.social,Ramy Youssef,https://sciences.social/@ramyologist,systems_theory diplomacy text_mining,de en
@APWeiland@sciences.social,Andreas P. Weiland,https://sciences.social/@APWeiland,gender inequality life-course,
@FHasselhorn@sciences.social,Fabian Hasselhorn,https://sciences.social/@FHasselhorn/,Criminology Situational_Action_Theory Experimental_research,de en
@thofel@fediscience.org,Thomas Feliciani,https://fediscience.org/@thofel,Computational_social_science Meta-research Opinion_dynamics,en
@tomemery@sciences.social,Tom Emery,https://sciences.social/@tomemery,Social_Science Research_Infrastructure Family_Sociology,en
@vaiseys@sciences.social,Stephen Vaisey,https://sciences.social/@vaiseys,Culture Cultural_Evolution RStats,en
@emgerson@mstdn.social,Elihu M Gerson,https://mstdn.social/@emgerson,STS Work Institutions,en
@MartinReinhart@openbiblio.social,Martin Reinhart,https://openbiblio.social/@MartinReinhart,,
@michaelacbenson@mas.to,Michaela Benson,https://mas.to/@michaelacbenson,Migration Citizenship Brexit,en
@miguel_a_martinez@sciences.social,Miguel A. Martínez,https://www.miguelangelmartinez.net,Housing_and_Urban_Sociology Social_Movements Activist_Research,
@venus@mstdn.dk,Venus Athena Vangsgaard Fabricius,https://mstdn.dk/@venus,Mixed_Methods Subculture Social_equality_and_differences,da en
@gorodzeisky@sciences.social,Anastasia Gorodzeisky,https://sciences.social/@gorodzeisky,migration public_opinion politics_of_knowledge,en he es ru
@ReneCNielsen@sciences.social,René Clausen Nielsen,https://sciences.social/@ReneCNielsen,computational_sociology historical_sociology social_change,en
@ConstitutiveLaw@masthead.social,Mary Lia Reiter,https://masthead.social/@ConstitutiveLaw,Sociology_of_Law Criminal_Justice,
@DrRosaleenOBrien@mas.to,Rosaleen O’Brien,https://mas.to/@DrRosaleenOBrien,Medical_Sociology Qualitative Inequalities,en
@louisesparza@h-net.social,Louis Edgar Esparza,https://h-net.social/@louisesparza,social_movements human_rights contentious_politics,en es
@Uhorski@wien.rocks,András Kelen,https://wien.rocks/@Uhorski,,en
@NODE801@mastodon.social,B. Ricardo Brown,https://mastodon.social/@NODE801,Critical_theory History_&_Sociology_of_Science Environmental_Studies,en
@lenka_drazanova@sciences.social,Lenka Drazanova,https://sciences.social/@lenka_drazanova,political_socialization public_opinion attitudes_formation,
@profimogentyler@mastodon.green,Imogen Tyler,https://mastodon.green/@profimogentyler,,
@williamcallison@econtwitter.net,William Callison,https://econtwitter.net/@williamcallison,Social_Theory Political_Theory Economic_Theory,
@mpsmoreau@mstdn.social,Marie-Pierre Moreau,https://mstdn.social/@mpsmoreau,sociology_of_work inequalities sociology_of_education,
@SebSvenberg@sciences.social,Sebastian Svenberg,https://sciences.social/@SebSvenberg,Social_movements Economic_democracy Climate_change,en sv
@madsejsing@mastodon.world,Mads Ejsing,https://mastodon.world/@madsejsing,Environmental_politics multispecies_ethnography climate_justice,
@TVuckovicJuros@fediscience.org ,Tanja Vuckovic Juros,https://fediscience.org/@TVuckovicJuros,cultural_sociology political_sociology qualitative_methodology,en
@grguedes@sciences.social,Gilvan Guedes,https://sciences.social/@grguedes,Population_and_Environment Statistical_and_Formal_Demography Economics,pt en sp
@mbuermann@sciences.social,Marvin Bürmann,https://sciences.social/@mbuermann,labor_markets social_inequality migration,
@ypsilonkah@union.place ,Yannick Kalff,https://union.place/@ypsilonkah,Labor_sociology sociology_of_organisations economic_sociology,de en fr
@mireiatriguero@sciences.social,Mireia Triguero Roura,https://sciences.social/@mireiatriguero,,en ca es
@silviosuckow@mastodon.social,Silvio Suckow,https://mastodon.social/@silviosuckow,science_studies interdisciplinarity,
@GESISTraining@mstdn.science,GESIS Training,https://training.gesis.org,Computational_Social_Science Survey_Methodology Data_Analysis,en de
@Alba@sciences.social,Alba Lanau,https://sciences.social/@Alba,poverty childhood social policy,
@lecoursonnais@sciences.social,Maël Lecoursonnais,https://sciences.social/@lecoursonnais,stratification spatial_inequalities causality,en fr
@pierre_bat@mastodon.social,Pierre Bataille,https://mastodon.social/@pierre_bat,,fr
@mtorre@sciences.social,Marga Torre,https://sciences.social/@mtorre,work gender_inequalities computational_social_science,es en
@sociologian@mastodon.social,Michael Pollard,https://mastodon.social/@sociologian,,
@ShonaS@mastodonapp.uk,Shona S,https://mastodonapp.uk/@ShonaS,Black_Studies Intersectionality Disability_Studies,en
@asgelabert@sciences.social,Albert Sánchez-Gelabert,https://sciences.social/@asgelabert,Higher_Education Culture,ca es en
@as_sAlone@mastodon.social,Anna Sofia Salonen,https://mastodon.social/@as_sAlone,food inequality religion,en fi
@kalf@sciences.social,Fabian Kalleitner,https://sciences.social/@kalf,economic_sociology social_inequality survey_methodology,
@moorehead@sciences.social,Robert Moorehead,https://sciences.social/@moorehead,Race Immigration Japan,en ja es
@CRISPP_PolPhil@home.social,CRISPP,https://home.social/@CRISPP_PolPhil,Social_and_Political_Philosophy,en
@rpbellamy1@mastodon.uno,Richard Bellamy,https://mastodon.uno/@rpbellamy1,Social_Theory Political_Theory Legal_Theory,en fr it de
@defauconberg@fediscience.org,Âri de Fauconberg,https://fediscience.org/@defauconberg,Organizations Climate Sustainability,en fr
@bjoernkrey@mastodon.social,Björn Krey,https://mastodon.social/@bjoernkrey,qualitative_research dream_research,de
@Janinedahinden@mstdn.social,–,https://mstdn.social/Janinedahinden,Migration (De)migranticization Mobility,
@alessiodangelo@mas.to,Alessio D'Angelo,https://mas.to/@alessiodangelo,,
@mzv@climatejustice.social,Matthias Z Varul,https://climatejustice.social/@mzv,cultural_sociology professions social_theory,en de
@TaylorBrooks@mastodon.world,Taylor J. Brooks,https://mastodon.world/@TaylorBrooks,Migration Immigration Racism,en
@drewburns@mstdn.party,Andrew Burns,https://mstdn.party/@drewburns,social_control substance_use narratives,en
@aaronreeves@sciences.social,Aaron Reeves,https://sciences.social/@aaronreeves,elites political_economy_of_health welfare_reform,
@sinimalesevic@mastodon.online,Sinisa Malesevic,https://mastodon.online/@sinimalesevic,Nationalism War Violence,En
@dirkvl@ruhr.social,Dirk vom Lehn,https://ruhr.social/@dirkvl,Ethnomethodology_and_Video Interactionism Art_Museums,en
@sibyllegollac@diaspodon.fr,Sibylle Gollac,https://diaspodon.fr/@sibyllegollac,Gender Wealth Justice,fr en
@weverthon@sciences.social,Weverthon Machado,https://sciences.social/@weverthon,Family Inequality Life_course,
@igorsadaba@sciences.social,Igor Sádaba,https://sciences.social/@igorsadaba,Social_Research_Methods Social_Movements Digital_Methods,
@elenavanstee@sciences.social,Elena van Stee,https://sciences.social/@elenavanstee,Family Inequality Education,en
@jacyanthis@sciences.social,Jacy Reese Anthis,https://sciences.social/@jacyanthis,technology organizations socialmovements,en
@LarsJohannessen@sciences.social,Lars E.F. Johannessen,https://sciences.social/@LarsJohannessen,Cultural_sociology Medical_sociology Theorizing,
@justcodeculture@mastodon.social,Jeffrey Yost,https://mastodon.social/@JustCodeCulture,Inequality Power Technology,en
@pparrasaiani@mastodon.uno,Paolo Parra Saiani,https://mastodon.uno/@pparrasaiani,fraud_in_science social_research_methodology science_and_politics,it en fr es
@GSEJ@sciences.social,Centre for Global Science and Epistemic Justice,https://sciences.social/@GSEJ,STS RRI Interdisciplinarity,en
@evangelinewarren@sciences.social,Evangeline Warren,https://sciences.social/@evangelinewarren,,
@andreabellini@matodon.uno,Andrea Bellini,https://mastodon.uno/@andreabellini,Middle_classes Professions Industrial_relations,en it
@scoavoux@sciences.social ,Samuel Coavoux,https://sciences.social/@scoavoux,Culture Inequalities CSS,fr en
@derekcrim@mastodon.social,Derek Silva,https://mastodon.social/@derekcrim,Sport Labor Crime,
@nhaarbusch@sciences.social,Niklas Haarbusch,https://sciences.social/@nhaarbusch,Climate Sustainability Socialization,en de
@afouxenidis@mastodon.world,Alex Afouxenidis,https://mastodon.world@afouxenidis,Political_Sociology Civil_Society Social_Movements,en gr
@DrNomyn@bne.social,Naomi Barnes,https://bne.social/@DrNomyn,Digital_Sociology Political_Sociology Education,en
@ishmamunoz@sciences.social,Ismael G. Muñoz,https://sciences.social/@ishmamunoz,Education_&_Health_Inequities Social_Policy Demography,
@dariatisch@sciences.social,Daria Tisch,https://sciences.social/@dariatisch,Gender Wealth Inequality,
@wrigleyfield@fediscience.org,Elizabeth Wrigley-Field,https://fediscience.org/@wrigleyfield,Demography Health Racism,en
@jdierkes@sciences.social,Julian Dierkes,https://sciences.social/@jdierkes,Mongolia democratization,en de
@ruth.manstetten@sciences.social ,Ruth Manstetten,https://sciences.social/@ruthmanstetten,,
@jonathancoley@sciences.social,Jonathan Coley,https://sciences.social/@jonathancoley,social_movements religion education,en
@bekado@social.tchncs.de,Benjamin Doubali,https://social.tchncs.de/@bekado,media_sociology digital_sociology industrial_work,de
@bdmabrams@mstdn.social,Benjamin Abrams,https://mstdn.social/@bdmabrams,Revolutions Mobilization Resistance,en
@UCLSociology@sciences.social,UCL Sociology Network,https://sciences.social/@UCLSociology,UCL,en
@jlkucinskas@sciences.social,Jaime Kucinskas,https://sciences.social/@jlkucinskas,sociology_of_religion morality social_change,en
@FabianPfeffer@sciences.social,Fabian Pfeffer,https://sciences.social/@FabianPfeffe,social_inequality social_mobility wealth,
@wyli@sciences.social,Wendy Li,https://sciences.social/@wyli,lobbying elites networks,en
@PopResearchCtrs@sciences.social,CPIPR,https://sciences.social/@PopResearchCtrs,Demography Health Maternal,en
@GuZoch@sciences.social,Gundula Zoch,https://sciences.social/@GuZoch,Social_Inequalities Family Policy,en de
@MonaMotakef@sciences.social,Mona Motakef,https://sciences.social/@MonaMotakef,,en de
@mkolczynska@sciences.social,Marta Kołczyńska,https://sciences.social/@mkolczynska,comparative_sociology political_behavior survey_methods,pl en de
@CPCpopulation@sciences.social,Centre for Population Change,https://sciences.social/@CPCpopulation,Population Demography Social_Science,en
@flavioazevedo@mastodon.social,Flavio Azevedo,https://mastodon.social/@flavioazevedo,Ideology Political_Behavior Political_Psychology,en
@magmikulak@sciences.social,Magdalena Mikulak,https://sciences.social/@magmikulak,Social_justice Health_inequalities Disability,en
@SurreySociology@Mastodon.world,Surrey Sociology,https://mastodon.world/@SurreySociology,Media Criminology,
@DrC@mastodon.online,–,https://mastodon.online/@DrC,Trauma Abuse Flow,
@NicoleKapelle@sciences.social,Nicole Kapelle,https://sciences.social/@NicoleKapelle,Family_dynamics Life_course Gender,
@ellulie@home.social,Ella Wind,https://home.social/@ellulie,Democracy Labor MENA,en ar
@heejungchung@fediscience.org,Heejung Chung,https://fediscience.org/@heejungchung,flexible_working gender_equality comparative,
@magmikulak@universeodon.com,Magdalena Mikulak,https://universeodon.com/@magmikulak,Social_justice Health_inequalities Disability,en
@mbojan@sciences.social,Michał Bojanowski,https://sciences.social/@mbojan,conflict_&_cooperation computational_social_sciences social_networks,pl en
@aalvarezbenjumea@fediscience.org,Amalia Alvarez Benjumea,https://fediscience.org/@aalvarezbenjumea,Social_norms Hate_speech experiments,
@ahayes@mstdn.party,Adam Hayes,https://mstdn.party/@ahayes,Economic_sociology STS Theory,en
@Maximefelder@mas.to,Maxime Felder,https://mas.to/@Maximefelder,Urban_sociology Migration Social_networks,
@LeoAzzollini@sciences.social,Leo Azzollini,https://sciences.social/@LeoAzzollini,Political_Sociology Economic_Sociology Social_Stratification,en it
@andrew_jorgenson@sciences.social,Andrew Jorgenson,https://sciences.social/@andrew_jorgenson,environmental_sociology global_sociology climate_change,en
@Francis_Prior@mastodon.social,Francis Prior,https://mastodon.social/@Francis_Prior,,en
@cbrandtner@mastodon.social,Christof Brandtner,https://mastodon.social/@cbrandtner,organizational_sociology urban_governance sustainability,en de
@janfuhse@sciences.social,Jan Fuhse,https://sciences.social/@janfuhse,Social_networks Theory Communication,en de
@konradturek@fediscience.org,Konrad Turek,https://fediscience.org/@konradturek,ageing_labour_markets life_course_inequalities work_&_organizations,
@AnnaStrhan@sciences.social,Anna Strhan,https://sciences.social/@AnnaStrhan,culture religion values,
@candora@mastodon.la,Carolina García,https://mastodon.la/@candora,Human_Rights Childhood Gender,es en fr
@cczymara@sciences.social,Christian Czymara,https://sciences.social/@cczymara,Immigration Attitudes Media,
@WeedenKim@sciences.social,Kim Weeden,https://sciences.social/@WeedenKim,inequality higher_education gender_inequality,en
@hyunsikchun@fediscience.org,Hyunsik Chun,https://fediscience.org/@hyunsikchun,Organizations Social_Movements Political_Sociology,
@Val_Mueller_ASU@econtwitter.net,Valerie Mueller,https://econtwitter.net/@Val_Mueller_ASU,demography population environment,en
@jeremykuhnle@mastodon.social,Jeremy Kuhnle,https://mastodon.social/@jeremykuhnle,Social_inequality Immigration Causal_inference,de en
@buraksonmez@sciences.social,Burak Sonmez,https://sciences.social/@buraksonmez,Experiments Stats Trust,
@paolo@sciences.social,Paolo Velásquez, https://sciences.social/@paolo,Education Immigration Prejudice,en es sv
@ghaliahfakhoury@mstdn.social,Ghaliah Fakhoury,https://mstdn.social/@ghaliahfakhoury,,en ar
@afwilson@mastodon.world,–,https://mastodon.world/@afwilson,religion extremism environment,
@camiloluvino@mas.to,Camilo,https://mas.to/@camiloluvino,culture neoliberalism sociability,sp
@aminghaziani@sciences.social,Amin Ghaziani,https://https://sciences.social/@aminghaziani,Urban_Sexualities Queer_Methods Culture,en
@globalnetworks@fediscience.org,Global Networks (journal),https://fediscience.org/@globalnetworks,globalization transnationalism networks,en
@edwin_schmitt@mastodon.social,Edwin Schmitt,https://mastodon.social/@edwin_schmitt,,
@lecoursonnais@sciences.social,Maël Lecoursonnais,https://sciences.social/@lecoursonnais,,en fr
@mhermans@mastodon.social,Maarten Hermans,https://mastodon.social/@mhermans,Labor Industrial_Relations Trade_Unions,en nl
@TaylorPrice@mastodon.online,Taylor Price,https://mastodon.online/@TaylorPrice,Music Culture Interactionism,
@mancelovici@mastodon.social,Marcos Ancelovici,https://mastodon.social/@mancelovici,Political_Sociology Social_Movements Housing,en fr sp
@rkaram@sciences.social,Rebecca Karam,https://sciences.social/@rkaram,,
@gscheiring@sciences.social,Gabor Scheiring,https://sciences.social/@gscheiring,health democracy political_economy,
@Touboel@mastodon.social,Jonas Toubøl,https://mastodon.social/@Touboel,Political_sociology Civil_society Social_movements,
@ronlevi@mastodon.social,Ron Levi,http://indiividual.utoronto.ca/ronlevi,,
@socistmjs@mstdn.social,Matthew Schneider,https://mstdn.social/@socistmjs,Race_&_Racism Civic_&_Community_Engagement Environmental_Sociology,en
@janlo@mastodon.social,Jan Lorenz,https://mastodon.social/@janlo,agent-based_models segregation polarization,en de
@PaulSpicker@sciences.social,Paul Spicker,https://sciences.social/@PaulSpicker,Poverty Welfare Social_Policy,en fr
@jessicadscott09@mastodon.online,Jessica Scott,https://mastodon.online/jessicadscott09,Privacy Surveillance Civil_religion,
@sschaffer@sciences.social,Scott Schaffer,https://sciences.social/@sschaffer,Xenosociology Social_ethics Bourdieu,en fr sp
@KenzieMintusPhD@fediscience.org,Kenzie Mintus,https://fediscience.org/@KenzieMintusPhD,Aging_&_the_Life_Course Medical_Sociology Disability,
@themmarae@sciences.social,Emma Rae,https://sciences.social/@themmarae,queer_futures phenomenology feminist_pragmatisms,en
@xinhan@mas.to,Xin Han,https://mas.to/@xinhan,Political_Sociology Economic_Sociology Interdisciplinary_Studies,en
@Cost_ofLiving@toot.community,Cost of Living Blog,https://toot.community/web/@Cost_ofLiving,sociology_health_&_illness medicine healthcare,en
@dieuwkezwier@mastodon.online,Dieuwke Zwier,https://mastodon.online/@dieuwkezwier,Education Social_Stratification Social_Network_Analysis,
@ahvinson@mstdn.social,Alexandra Vinson,https://mstdn.social/@ahvinson,sociology STS,en de
@NPV@scholar.social,Nadav Perez-Vaisvidovsky,https://scholar.social/@npv,Fatherhood Welfare_state,en he
@jeromedenis@assemblag.es,Jérôme Denis,https://assemblag.es/@jeromedenis,STS Maintenance Data,fr en
@wunderlich@det.social,Philipp Wunderlich,https://det.social/@wunderlich,Sociology_of_emotions Political_Sociology Conspiracy_theories,en de
@jscarbonell@piaille.fr,Juan Sebastian Carbonell,https://piaille.fr/@jscarbonell,Work Labour Industrial_relations,fr en es
@leonardnevarez@mas.to,Leonard Nevarez,https://mas.to/@leonardnevarez,urban work consumption,
@prairiedogking@sciences.social,Rick Moore,https://sciences.social/@prairiedogking, Teaching Religion,en
@chchliu@mastodon.social,Chuncheng Liu,https://mastodon.social/@chchliu,,
@mannymadriaga@mastodonapp.uk,Manny,https://mastondonapp.uk/@mannymadriaga,race disability higher_education,
@DrJoyZhang@c.im,Joy Y Zhang,http://c.im/@DrJoyZhang,Cosmopolitanism Decolonisation Sociology_of_Knowledge,en
@Deglassco@mastodon.social,D. Elisabeth Glassco ,https://mastodon.social/@Deglassco,Media Race Cultural_Studies,en
@dorubio@hcommons.social,Fernando Dominguez Rubio,https://hcommons.social/web/@dorubio,,
@MaureenEger@sciences.social,Maureen A. Eger,https://sciences.social/@MaureenEger,immigration welfare nationalism,en
@andreashaupt@science.social,Andreas Haupt,https://sciences.social/@andreashaupt,,
@consumapalooza@sciences.social,Jennifer Smith Maguire,https://sciences.social/@consumapalooza,Cultural_Production Cultural_Intermediaries Wine_&_Provenance,en
@davidribes@hci.social,David Ribes, https://hci.social/@davidribes,STS infrastructure symbolic_interactionism,
@zhifan_luo@eldritch.cafe,Zhifan Luo,https://eldritch.cafe/web/@zhifan_luo,Media_sociology Computational_social_science Political_sociology,en zh
@Marcello@mstdn.social,Marcello Aspria,https://mstdn.social/@Marcello,technologies infrastructures repair,en nl it
@cameron@scholar.social,Cameron Conaway,https://scholar.social/@cameron,Feedback_orientation Gender,en
@NicholasVargas@sciences.social,Nicholas Vargas,https://sciences.social/web/@NicholasVargas,Latinx_Sociology Race_&_Ethnicity Latinx_Studies,en
@EliFriedman@mas.to,Eli Friedman,https://mas.to/@EliFriedman,labor development Asia,en zh
@SoineHannah@nerdculture.de,Hannah Soiné,https://nerdculture.de/@SoineHannah,migration_&_integration survey_data,
@marcoalbertini@mastodon.uno,Marco Albertini,https://mastodon.uno/web/@marcoalbertini,generations aging inequality,en it
@ophastings@sciences.social,Pat Hastings,https://sciences.social/@ophastings,inequality family computational_social_science,
@tatdef@piaille.fr,Tatiana de Feraudy,https://piaille.fr/@tatdef,civic_tech democracy digital,fr
@langspielplatte@toot.commuity,Daniel Felscher,https://toot.community/@langspielplatte/,Sociology Practice_Theory Sound_Studies,en de
@lucymichael@mastodon.ie,Lucy Michael,https://mastodon.ie/lucymichael,Equality Racism Justice,en
@Katestew@mastodon.online,Kate Stewart,https://mastodon.online/@Katestew,Vegan_sociology Qualitative_methods,en
@laurafo@sciences.social,Laura Fokkena,https://sciences.social/@laurafo,International_Education Inequality Social_&_Political_Change,en
@Saragoldrickrab@mas.to,Sara Goldrick-Rab,https://mas.to/@saragoldrickrab,Real_College Higher_Education Poverty,en
@peter_mcmahan@mas.to ,Peter McMahan,https://mas.to/@peter_mcmahan,networks culture science,en
@renaelsm@mastodon.online,Renae Loh,https://mastodon.online/@renaelsm,Socio-digital_inequalities ICT,
@allanmccoy@sciences.social,Allan Mccoy,https://sciences.social/@allanmccoy,medical_sociology public_health infectious_disease_control,en
@bernardforgues@mastodon.social,Bernard Forgues,https://mastodon.social/@bernardforgues,organization institutions social_evaluation,en fr
@jannabesamusca@c.im,Janna Besamusca,https://c.im/@jannabesamusca,Work_&_family Wages Working_hours,nl en
@MCOdd@akademienl.social,Marilie C. Odding,https://akademienl.social/web/@MCOdd,Socio-legal_research Unemployment Narratives,
@asociologist@mastodon.social,Daniel Hirschman,http://mastodon.social/@asociologist,Economic_sociology Theory Science_studies,en
@AudreyLinder@sciences.re,Audrey Linder,https://social.sciences.re/@AudreyLinder,Sociology Health Psychiatry,fr
